Date,Gratitude,Plan,Tasks,Review,Takeaway
1/7/26,I am grateful for having read many books,"940-12 code kata Rush max, 1-4 youtube & doomscrolling, 4-6 tea & chill, 6-7 Runinig, 7-8 dinner, 8-10 codekata","1. codekata - try to finish, 2. Interview - Endpoint clinical, 3. Wash clothes, 4. Research about AI engineers.",I managed to do some work but was mostly distracted,I will try to finish the hardest tasks as early as possible.
2/7/26,"I am grateful for having wifi, mobile & laptop.","10-11 Quandao bug fixes, 11:10-12:10 codekata, 9:20-10 codekata, chess. 4 hours works.","1. solve 10 codekata, 2. solve 10 codekata, 3. solve 10 codekata, 4. solve 10 codekata, 5. Go for Run 1.6k (X), 6. stay idle for 10 minutes",I did not plan well and I am mostly multitasking with youtube in the side which spoils my dopamine,I will watch youtube alone and will focus only on work during work.
3/7/26,I am grateful to be able to sleep peacefully,"10-12 codekata 10, 12-4 chill, youtube, 4-6 instagram & timewaste, 6-7 lings office, 7-8 wash, shower, dinner, 8:45-10 codekata. 3 hour work, 9 hour chill.","1. codekata 10 Problems, 2. codekata 10 Problems, 3. wash clothes, 4. go for Run 1.6.k, 5. visit uncle","Worked but wasted most of the time, could have atleast took rest",If not working then take rest.
9/7/26,Gratefull for a family & blessed to have family,"950-3 Finish & ship Project, upload Resume
4-6 Prepare the projects & new concepts
6-7 Run, chill, shower, dinner
7-9 cloud deployment & updating resume.
9-11 cloud deployment.","1. Finish up and ship the project (tick)
2. update resume & fill onboarding (tick)
3. Prepare the project topics(new)
4. Fold all clothes
5. Start applying for companies
6. keep practicing leetcode.",got stuck with one work and also I am not working hard enough.,Remember stay consistent and dont let your children complain.
10/7/26,I am grateful for being able to walk,"9-12 Refresh, breakfast, milk, resumeupdate 3
12-230 chill, youtube, lunch. 3
330-6 Prepare the topics, chill 3
6-8 Run and chill 2
8-10 youtube Prep. topics 2","1. Do the resume checkup with Prompt (tick)
2. with current codebase update resume (tick)
3. once resume update, apply, track (tick)
4. Eat soya chunks for lunch (X)
5. Take the list of all topices & prepare
6. Do a 5k run. 3k (tick)
7. solve 5 easy leetcode (X)
8. Prepare new topics. (tick)",a lil time wasted during the day due to sleep & tiredness,sleep when bored & refresh & get back stronger.
11/7/26,I am gratefull for having the ability to see,"9-12 doom scrolling & social media. 3
12-2 learn topics. 2
2-330 chill 1.5
330-5 study the topics. X 1.5
5-7 time wasted & glided through 2.
7-11 time wasted in Porn 4","1. learn the topics one by one X
2. solve 10 leetcode problems X
3. Apply for atleast 30 companies (tick)",If I waste 14 hours in a day i will never reach 100cr.,to reach 100cr I should not be having free time to do shit.
12/7/26,I am grateful for education.,"10-12 time waste & overthinking 2.
12-1 solving 4 leetcode, solvemore 1
1-230 chill, lunch, youtube. 2.5
230-330 leetcode 1
330-7 family meetup 3.5
7-9 study NLP 2
9-12 went to play 3","1. Finish the NLP topics X
2. Finish the rest of topics X
3. wash clothes. X
4. solve 15 leetcode problems X
5. check if there are cool companies X
6. go for a run park or run. X",At this rate of time wasted I will never proceed anywhere.,Plan the day properly and behave like a millionare.
13/7/26,I am grateful for being able to own 100cr.,"6-8 Refresh, sun, breakfast, reading 2
8-9 NLP topics 1
9-12 doom scrolling 2.4
1-2 chill 1
2-5 study 3
5-8 portfolio 3","1. learn NLP topics
2. solve 10 leetcode.
3. take a nice nap (tick)
4. Do 20 pushups & 20 situps
5. talk to sarvesh. (tick)
6. wash clothes (tick)
7. Eat eggs or soya chunks (tick)",today I am mentally devastated I am feeling bad for not getting a job,Remember you dont have time to waste & only grind.
4/7/26,For being able to afford a porsche,"9-12 codekata 14 3 hours
1-2 sleep
2-4 codekata
4-6 chilling mostly
6-8 shower & toilet wash & dinner
8-10 codekata 15","1. Trim nails (tick)
2. Arrange clothes
3. solve upto 200 codekata
4. go for 1.6k run (X)
5. wash toilet (tick)",Waking up early helped me finish the important tasks first.,Start waking up early & move out fast.
5/7/26,I am grateful to have choices in life,"930-12 10 codekata solved. 2.5 hours
12-2 lunch and chill
2-6 chill
6-7 Run
7-8 dinner
8-10 Codekata. 3 hours","1. finish upto 258 in codekata
2. start the project development plan. X
3. go out and take some photos (tick)
4. if I am going out, learn something to talk X
5. go for 1.6k run (tick)",Day went well with good tasks & also a very good run. happy,keep up the run and remember to stay consistent.
